hotel_name,hotel_url,hotel_address,hotel_type,hotel_rating,location_rating,cleaniness_rating,service_rating,value_rating,hotel_rating_max_value,hotel_review,covid_detail,customer_name,customer_address,customer_review_date,customer_rating,max_value,comment_title,comment,customer_stay_date,customer_trip_type
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",ian, ,Sep 2020,50,50,"Good quality, well maintained and well laid-out hotel","Stayed there several months ago. Found staff great. Hotel was always very clean and it has attractive pools and grounds, splitting busier children-focussed and quieter pool areas up.
Food was pretty good if a little limited over the course of 10 days. There are a few hotel bars, but it's not suited to those wanting a lively evening.
Whilst fairly remote from much of the island it's near to a few good beaches and hiring a car makes all of Kefalonia easy to reach - it's a relatively small but beautiful island. It's very relaxed with a fair number of attractions.", October 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",Rio699,"Wokingham, United Kingdom",Aug 2020,50,50,Absolutely Stunning Hotel,"Stayed at this fabulous hotel in Kefallonia just outside Lixouri, words cannot express the excellent reception staff friendly and will go that extra mile to accommodate you. People come here year after year. The hotel has fantastic facilities which have now been extended used the wonderful spa, so relaxing and again staff very knowledgable about the treatments. The children area is safe clean & secluded with a great program for them even an outdoor cinema. The food is very good we loved breakfast fresh bread pastries fruit pancakes to full English all freshly prepared. My husband ordered an omelet & was cooked in record time & delicious there is a beautiful taverna also at the hotel very upmarket & great choice of food daily. The gym and beach facilities also great you can pay extra for surfing, boat trips, paddle boarding you will not be bored. Highly recommend for families & couples looking for 5 star grading with reasonable prices. Booked again for May 2021 with Jet2.", September 2019, Travelled with friends
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",ameliasb23,"Worksop, United Kingdom",Jul 2020,40,50,Relaxing Holiday,"The hotel complex is beautiful with friendly and helpful staff. There are multiple pools which is brilliant to chose from. The area is stunning and the hotel is a short 5 minute walk to the shop and beach. Lost a star for the bar - the bar was table service but staff were run off there feet. Once you had finished your drink you would have to wait a long time before managing to catch the busy waitresses attention again instead of just waiting at the bar and reordering (the prices were a little steep too) but happy hour was the time to get your cocktails in!
We wish we had hired a car and explored the island! Beautiful. Catch the ferry across to the main town - look out for the loggerhead turtles!", August 2019, Travelled as a couple
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",Global763363, ,Jul 2020,40,50,Relaxing break,"Amazing hotel, clean throughout. Maid service daily. The restaurant staff were very friendly and helpful, the food nice with a good variety to choose from. Aqua fit in the daytime was fun and the bar at night ok but could do with another bar or nightclub onsite, as there isn’t much to do in the resort. Fantastic relaxing stay.", August 2019, Travelled with family
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",Dave, ,Nov 2019,50,50,Our sixth annual visit to The Apollonion.,"Our sixth visit was certainly not a disappointment. We eagerly awaited our visit this year with the extensive modifications to the hotel complex. The entire experience was superb, the food, the entire staff, even the porters are top notch. The new pool area, cocktail bar, dining area and New Italian Restaurant..The Trattoria are all superb. Pool and all walkways are cleaned daily, and we have never been able to fault the service around the hotel. The new buildings work well and the sensitive planting of shrubs and trees have been done thoughtfully and they tie into the original hotel perfectly. The morning breakfast and Evening meals are amazing with so much choice and the standard is very high. Compliments to The head Chef Vlassis and his team of chefs for providing such wonderful menus. Christos, the manager works very hard to see that all guests are pleased with all things, and his father works very hard too. Dimitris and his bar staff are superb, and the new poolside bar is perfectly located.Kefalonia is a special place for us , because of our fantastic connection to local people in and around Lixouri. The Kefalonions are pleasant, and easy to get on with and it adds to the entire experience. We will be back to The Apollonion and some of the negative comments really need to be ignored.", August 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",SpiSg,"Athens, Greece",Nov 2019,50,50,EXCELLENT HOTEL,"The hotel fulfilled our expectations!! Outer spaces (gardens)were taken care off every day.Rooms were spacious, comfortable and clean.The breakfast included delicious and fresh products.Staff was so friendly!We had an amazing stay, our holidays were great and Apollonion Asterias Resort & Spa was responsible for that!! I definitely recommend it, if your though is to spend great holidays on such a beautiful island. I cannot even imagine of a reason not to like this place and I wonder why some people post bad comments...", August 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",Tania, ,Nov 2019,20,50,Bad experience,"I was unpleasantly surprised with The Apollonion Asterias Resort & Spa. I didn´t like the location, far from the mains sights of the island. The corridors were dirty and dark. The pool service extremely slow and front desk staff unprepared to deal with problems.", September 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",RonLynda,"Darlington, United Kingdom",Oct 2019,40,50,Nearly got it right,"It was our first time to Kefalonia, but probably not the last. Such a beautiful unspoilt island without high rise and overly commercialisation. Stay date 19th September.
To get to the hotel from the airport requires either a long and winding road route or a pleasant ferry ride, we arrived mid day so could see the views from the ferry.
We booked a junior suite with private pool in the new Asteria section, 652. The views were very nice to the sea in the distance and the patio area quite large and private. Normally pools are cold, but to our surprise our pool was very pleasant and so was used most days. The furnishings as you would expect were in good condition due being only 20 weeks old, according to the TUI rep. The cleaning was good and our maid friendly.
Xi beach is a nice beach to walk along, with some stop off points for a drink. On two evenings we wandered down to Baywatch, quiet, chilled music and very reasonably priced drinks.
We didn’t see a problem with the heat of the food in the restaurant, however I would agree the variety was limited. Having stayed in many holiday hotels over many years I think it was acceptable but done to a restrictive budget for the chef. However service was really quite bad at times, not the fault of the staff, they worked very hard. But the drinks system is inefficient, one evening we ordered a bottle of water which took 15 minutes to arrive. But I watched as one man behind the bar took orders, made up drinks and the a bill produced, the backlog was apparently 15 minutes based on our experience. At peak times more staff needed.
The Maitre de was obviously stressed, which unfortunately he took out on the staff, to witness him scolding a 19 yr waitress several times when she was working so hard and doing a good, the result she started to cry. My wife went over to her and told her she was doing great. This isn’t good for staff morale, certainly not good for guests when in the middle of the restaurant. Maybe he has problems, so not judging except to say your staff shouldn’t be afraid of you, clearly they are.
We hired a car from Sixt, the Scottish lady was lovely, Catherine? This allowed us to explore the island, they were doing a 2+1 free deal, but gave the car back after two days. We would highly recommend Sixt and car hire, some fantastic scenery and beautiful beaches. We drove to many places and the ferry was very easy to use.
We went for a 45 minute de-stress massage each, which was wonderful. Stephanie did a wonderful job as did the other girl.
On our wedding anniversary we booked a table in the a la carte, the meal was pleasant but only three other tables in use, though our waiter said all tables were booked?
So overall a good hotel in a good position, but lacking in some areas. Staffing shortages are maybe due to not having sufficient local population? Everyone we spoke to was from Corfu or Crete or Greece mainland.
We enjoyed our stay and may return one day.", September 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",KittyCan,"Durham, United Kingdom",Oct 2019,30,50,Beautiful hotel shame about the service,"On arriving at the apollonion hotel everything looked beautiful, large fabulous resort, although a lot of walking and steep banks to get to the pool and restaurant. My main problem was the restaurant, food was not hot, cold eggs bacon etc for breakfast, same problem for evening meals, after 3 days I complained at reception, the evening meal was warmer that night, but not hot. I complained to Tui rep on the 5 day, great, food was actually hot for the next few days. The restaurant is huge, service was really dreadful, the maitre’d showed us to a table once we were left to fend for ourselves after that, staff didn’t no what they were doing. It took over 20 mins for bottle of water and glass of wine, everyone was complaining. The only member of staff that seemed to be doing everything was Lysandros, ( I think his name was) he never stopped, very efficient, although didn’t seem very happy, not surprised really as he was carrying everyone else. Entertainment in the bar was dreadful, still had problems for a drink. The maitre’d eventually phoned on the day of our departure about our complaint, basically too little too late. We did have a lovely holiday shame about food and service, it spoilt the 5* rating of the hotel. Kefalonia is a beautiful island, it won’t stop us from going again just not to the apollonion.", September 2019, 
Apollonion Asterias Resort & Spa,https://www.tripadvisor.co.uk/Hotel_Review-g651972-d1647632-Reviews-Apollonion_Asterias_Resort_Spa-Lixouri_Cephalonia_Ionian_Islands.html#REVIEWS,"Xi Beach, Lixouri 282 00 Greece",4.5,Excellent,40,50,45,45,5,"1,200","A note from Apollonion Asterias Resort & Spa
We are closely monitoring all new measures and we are waiting for the government’s final announcements.

The well-being of our guests and associates is of paramount importance.

Rest assured that all measures of safety that will be announced will be handled and applicable at our resort as our Top Priority is our Guests.

We shall wait to receive the governments’ final orders and instructions and from that point on we will make sure we establish all measures announced.
Read more
More questions?
+30 2671 094400
Email hotel
Community
Ask a question
Write a review",bloodtakingqueen,"Brighton, United Kingdom",Sep 2019,50,50,Stacy,"Just returned from a 6 days stay with the resort with friends. The hotel is visually amazing, we were upgraded when we arrived to a lovely clean apartment with a sea view. The Infinity pool is visually the best I have seen. All the staff were very attentive and professional and the lovely men who offered to drive us on their caddy to our room if we had heavy bags or wanted a lift up. Food great and good selection. This place is a must visit.", September 2019, Travelled with friends
